"CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
81,"propMissAct_0.2_autoCorr_0.73","ar1",0.454580744615906,0.043041509027783,"MAR","dropNA_simple",81
81,"propMissAct_0.2_autoCorr_0.73","intercept",4.53790906558678,0.650185070297005,"MAR","dropNA_simple",81
81,"propMissAct_0.2_autoCorr_0.73","xreg1",1.47383304575907,0.178354398451965,"MAR","dropNA_simple",81
81,"propMissAct_0.2_autoCorr_0.73","xreg2",-1.40905500948083,0.185084720568358,"MAR","dropNA_simple",81
81,"propMissAct_0.2_autoCorr_0.73","sigma",0.516563693405291,NA,"MAR","dropNA_simple",81
81,"propMissAct_0.43_autoCorr_0.77","ar1",0.337672826506835,0.0483959283049178,"MAR","dropNA_simple",81
81,"propMissAct_0.43_autoCorr_0.77","intercept",4.87473428515689,0.652826040236505,"MAR","dropNA_simple",81
81,"propMissAct_0.43_autoCorr_0.77","xreg1",1.83533093813929,0.194260309489619,"MAR","dropNA_simple",81
81,"propMissAct_0.43_autoCorr_0.77","xreg2",-1.54544323529799,0.180535902046664,"MAR","dropNA_simple",81
81,"propMissAct_0.43_autoCorr_0.77","sigma",0.66339277360834,NA,"MAR","dropNA_simple",81
81,"propMissAct_0.58_autoCorr_0.76","ar1",0.328437672538335,0.0575422665027685,"MAR","dropNA_simple",81
81,"propMissAct_0.58_autoCorr_0.76","intercept",5.42880778273308,0.677401601302509,"MAR","dropNA_simple",81
81,"propMissAct_0.58_autoCorr_0.76","xreg1",1.66429463957017,0.194270999018555,"MAR","dropNA_simple",81
81,"propMissAct_0.58_autoCorr_0.76","xreg2",-1.65430387236912,0.190535302816119,"MAR","dropNA_simple",81
81,"propMissAct_0.58_autoCorr_0.76","sigma",0.493802004348526,NA,"MAR","dropNA_simple",81
81,"propMissAct_0.2_autoCorr_0.73","ar1",0.444086848014359,0.0433395912210457,"MAR","dropNA_complete",81
81,"propMissAct_0.2_autoCorr_0.73","intercept",4.55861886754789,0.674688828915997,"MAR","dropNA_complete",81
81,"propMissAct_0.2_autoCorr_0.73","xreg1",1.56951809633282,0.185167903909598,"MAR","dropNA_complete",81
81,"propMissAct_0.2_autoCorr_0.73","xreg2",-1.42764284801634,0.191907053195611,"MAR","dropNA_complete",81
81,"propMissAct_0.2_autoCorr_0.73","sigma",0.536095582477252,NA,"MAR","dropNA_complete",81
81,"propMissAct_0.43_autoCorr_0.77","ar1",0.337197068764099,0.0517271712843002,"MAR","dropNA_complete",81
81,"propMissAct_0.43_autoCorr_0.77","intercept",4.82413228952265,0.703525162250022,"MAR","dropNA_complete",81
81,"propMissAct_0.43_autoCorr_0.77","xreg1",1.82749228329565,0.21360904395005,"MAR","dropNA_complete",81
81,"propMissAct_0.43_autoCorr_0.77","xreg2",-1.52970414749254,0.193798998155015,"MAR","dropNA_complete",81
81,"propMissAct_0.43_autoCorr_0.77","sigma",0.705315079886551,NA,"MAR","dropNA_complete",81
81,"propMissAct_0.58_autoCorr_0.76","ar1",0.344178530247526,0.0645174247434631,"MAR","dropNA_complete",81
81,"propMissAct_0.58_autoCorr_0.76","intercept",5.79436423483832,0.778944605053997,"MAR","dropNA_complete",81
81,"propMissAct_0.58_autoCorr_0.76","xreg1",1.54796273590362,0.221276504868463,"MAR","dropNA_complete",81
81,"propMissAct_0.58_autoCorr_0.76","xreg2",-1.73720191184776,0.219376433473447,"MAR","dropNA_complete",81
81,"propMissAct_0.58_autoCorr_0.76","sigma",0.489924535213205,NA,"MAR","dropNA_complete",81
81,"propMissAct_0.2_autoCorr_0.73","ar1",0.445687950514408,0.0410396256947047,"MAR","Kalman Filter",81
81,"propMissAct_0.2_autoCorr_0.73","intercept",4.76002856837757,0.614052419875901,"MAR","Kalman Filter",81
81,"propMissAct_0.2_autoCorr_0.73","xreg1",1.57719784643465,0.166994614953298,"MAR","Kalman Filter",81
81,"propMissAct_0.2_autoCorr_0.73","xreg2",-1.48294266206924,0.173818560666735,"MAR","Kalman Filter",81
81,"propMissAct_0.2_autoCorr_0.73","sigma",0.509335409596967,NA,"MAR","Kalman Filter",81
81,"propMissAct_0.43_autoCorr_0.77","ar1",0.32882235901387,0.0470684225420854,"MAR","Kalman Filter",81
81,"propMissAct_0.43_autoCorr_0.77","intercept",4.97077466320724,0.627428806858567,"MAR","Kalman Filter",81
81,"propMissAct_0.43_autoCorr_0.77","xreg1",1.89321212139203,0.184149440478532,"MAR","Kalman Filter",81
81,"propMissAct_0.43_autoCorr_0.77","xreg2",-1.57958099841099,0.173309089043584,"MAR","Kalman Filter",81
81,"propMissAct_0.43_autoCorr_0.77","sigma",0.657060192695517,NA,"MAR","Kalman Filter",81
81,"propMissAct_0.58_autoCorr_0.76","ar1",0.318602108997558,0.0596592571258217,"MAR","Kalman Filter",81
81,"propMissAct_0.58_autoCorr_0.76","intercept",5.51723731252873,0.639195979655362,"MAR","Kalman Filter",81
81,"propMissAct_0.58_autoCorr_0.76","xreg1",1.75486284176966,0.181710838614448,"MAR","Kalman Filter",81
81,"propMissAct_0.58_autoCorr_0.76","xreg2",-1.69223667329836,0.179082660501825,"MAR","Kalman Filter",81
81,"propMissAct_0.58_autoCorr_0.76","sigma",0.493816478545906,NA,"MAR","Kalman Filter",81
81,"propMissAct_0.2_autoCorr_0.73","intercept",0.36247222472343,0.0368629627157066,"MAR","Multiple Imputations",81
81,"propMissAct_0.2_autoCorr_0.73","xreg1",4.99825859768317,0.54870756609815,"MAR","Multiple Imputations",81
81,"propMissAct_0.2_autoCorr_0.73","xreg2",1.70924374220246,0.144222921566087,"MAR","Multiple Imputations",81
81,"propMissAct_0.2_autoCorr_0.73","phi",-1.56518683920429,0.153162185759892,"MAR","Multiple Imputations",81
81,"propMissAct_0.2_autoCorr_0.73","sigma",0.544239652628059,NA,"MAR","Multiple Imputations",81
81,"propMissAct_0.43_autoCorr_0.77","intercept",0.203756672507829,0.0455334361348354,"MAR","Multiple Imputations",81
81,"propMissAct_0.43_autoCorr_0.77","xreg1",5.1865785851026,0.624583973080898,"MAR","Multiple Imputations",81
81,"propMissAct_0.43_autoCorr_0.77","xreg2",1.9968653092346,0.184569551233508,"MAR","Multiple Imputations",81
81,"propMissAct_0.43_autoCorr_0.77","phi",-1.65483048827864,0.16401589248793,"MAR","Multiple Imputations",81
81,"propMissAct_0.43_autoCorr_0.77","sigma",0.672405865729611,NA,"MAR","Multiple Imputations",81
81,"propMissAct_0.58_autoCorr_0.76","intercept",0.110466945131458,0.0442255595122847,"MAR","Multiple Imputations",81
81,"propMissAct_0.58_autoCorr_0.76","xreg1",5.68900587601167,0.543233665989715,"MAR","Multiple Imputations",81
81,"propMissAct_0.58_autoCorr_0.76","xreg2",1.94782458199405,0.184036512050986,"MAR","Multiple Imputations",81
81,"propMissAct_0.58_autoCorr_0.76","phi",-1.76288588673468,0.16075290539134,"MAR","Multiple Imputations",81
81,"propMissAct_0.58_autoCorr_0.76","sigma",0.544294662194825,NA,"MAR","Multiple Imputations",81
