"","CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
"1",100,"propMissAct_0.25_autoCorr_0.27","ar1",0.44651451496035,0.0427318364504269,"MAR","dropNA_simple",100
"2",100,"propMissAct_0.25_autoCorr_0.27","intercept",4.45847465915537,0.623916780906236,"MAR","dropNA_simple",100
"3",100,"propMissAct_0.25_autoCorr_0.27","xreg1",1.6001487225977,0.17442344627315,"MAR","dropNA_simple",100
"4",100,"propMissAct_0.25_autoCorr_0.27","xreg2",-1.3964372937557,0.176337386533115,"MAR","dropNA_simple",100
"5",100,"propMissAct_0.25_autoCorr_0.27","sigma",0.527323410738338,NA,"MAR","dropNA_simple",100
"6",100,"propMissAct_0.43_autoCorr_0.3","ar1",0.441690582528887,0.0476258289779149,"MAR","dropNA_simple",100
"7",100,"propMissAct_0.43_autoCorr_0.3","intercept",5.1738827455118,0.706263429543635,"MAR","dropNA_simple",100
"8",100,"propMissAct_0.43_autoCorr_0.3","xreg1",1.49570136914985,0.21178206401309,"MAR","dropNA_simple",100
"9",100,"propMissAct_0.43_autoCorr_0.3","xreg2",-1.59227187450649,0.198485732424326,"MAR","dropNA_simple",100
"10",100,"propMissAct_0.43_autoCorr_0.3","sigma",0.586266657794016,NA,"MAR","dropNA_simple",100
"11",100,"propMissAct_0.63_autoCorr_0.31","ar1",0.237164275742272,0.0618199824143057,"MAR","dropNA_simple",100
"12",100,"propMissAct_0.63_autoCorr_0.31","intercept",5.61722573040931,0.783335591911975,"MAR","dropNA_simple",100
"13",100,"propMissAct_0.63_autoCorr_0.31","xreg1",1.66730784373156,0.242865423359084,"MAR","dropNA_simple",100
"14",100,"propMissAct_0.63_autoCorr_0.31","xreg2",-1.71410518773307,0.219144079765781,"MAR","dropNA_simple",100
"15",100,"propMissAct_0.63_autoCorr_0.31","sigma",0.764868926109486,NA,"MAR","dropNA_simple",100
"16",100,"propMissAct_0.25_autoCorr_0.27","ar1",0.41011843596119,0.04861374109861,"MAR","dropNA_complete",100
"17",100,"propMissAct_0.25_autoCorr_0.27","intercept",4.69714351157395,0.656921540286975,"MAR","dropNA_complete",100
"18",100,"propMissAct_0.25_autoCorr_0.27","xreg1",1.5749413045858,0.192313267219878,"MAR","dropNA_complete",100
"19",100,"propMissAct_0.25_autoCorr_0.27","xreg2",-1.46038373313323,0.185722423989512,"MAR","dropNA_complete",100
"20",100,"propMissAct_0.25_autoCorr_0.27","sigma",0.548897889821451,NA,"MAR","dropNA_complete",100
"21",100,"propMissAct_0.43_autoCorr_0.3","ar1",0.43207471493509,0.0633643083371066,"MAR","dropNA_complete",100
"22",100,"propMissAct_0.43_autoCorr_0.3","intercept",4.77214463142471,0.832678736066891,"MAR","dropNA_complete",100
"23",100,"propMissAct_0.43_autoCorr_0.3","xreg1",1.22056201647859,0.281948869047332,"MAR","dropNA_complete",100
"24",100,"propMissAct_0.43_autoCorr_0.3","xreg2",-1.45019820715131,0.23680106298953,"MAR","dropNA_complete",100
"25",100,"propMissAct_0.43_autoCorr_0.3","sigma",0.621205222090998,NA,"MAR","dropNA_complete",100
"26",100,"propMissAct_0.63_autoCorr_0.31","ar1",0.328865454861549,0.0816361623912961,"MAR","dropNA_complete",100
"27",100,"propMissAct_0.63_autoCorr_0.31","intercept",5.5464199760465,1.00169299403062,"MAR","dropNA_complete",100
"28",100,"propMissAct_0.63_autoCorr_0.31","xreg1",1.54832750958996,0.335261902538187,"MAR","dropNA_complete",100
"29",100,"propMissAct_0.63_autoCorr_0.31","xreg2",-1.65894650749783,0.278936692689751,"MAR","dropNA_complete",100
"30",100,"propMissAct_0.63_autoCorr_0.31","sigma",0.632829064159093,NA,"MAR","dropNA_complete",100
"31",100,"propMissAct_0.25_autoCorr_0.27","ar1",0.450986217273925,0.0427049352777707,"MAR","Kalman Filter",100
"32",100,"propMissAct_0.25_autoCorr_0.27","intercept",4.74624247653476,0.597096311772347,"MAR","Kalman Filter",100
"33",100,"propMissAct_0.25_autoCorr_0.27","xreg1",1.6739505181377,0.16556437443227,"MAR","Kalman Filter",100
"34",100,"propMissAct_0.25_autoCorr_0.27","xreg2",-1.48504137215782,0.168613996437753,"MAR","Kalman Filter",100
"35",100,"propMissAct_0.25_autoCorr_0.27","sigma",0.519827678298552,NA,"MAR","Kalman Filter",100
"36",100,"propMissAct_0.43_autoCorr_0.3","ar1",0.438395726242249,0.050574849371763,"MAR","Kalman Filter",100
"37",100,"propMissAct_0.43_autoCorr_0.3","intercept",5.55976399963216,0.665440411783862,"MAR","Kalman Filter",100
"38",100,"propMissAct_0.43_autoCorr_0.3","xreg1",1.68498595492825,0.189724669618418,"MAR","Kalman Filter",100
"39",100,"propMissAct_0.43_autoCorr_0.3","xreg2",-1.72386207809875,0.186826787218453,"MAR","Kalman Filter",100
"40",100,"propMissAct_0.43_autoCorr_0.3","sigma",0.57976227849994,NA,"MAR","Kalman Filter",100
"41",100,"propMissAct_0.63_autoCorr_0.31","ar1",0.42178036775359,0.0756767732383947,"MAR","Kalman Filter",100
"42",100,"propMissAct_0.63_autoCorr_0.31","intercept",5.88790199245799,0.802202737232522,"MAR","Kalman Filter",100
"43",100,"propMissAct_0.63_autoCorr_0.31","xreg1",1.71134074022772,0.237311827635655,"MAR","Kalman Filter",100
"44",100,"propMissAct_0.63_autoCorr_0.31","xreg2",-1.80179943086029,0.223670728692903,"MAR","Kalman Filter",100
"45",100,"propMissAct_0.63_autoCorr_0.31","sigma",0.684301866435323,NA,"MAR","Kalman Filter",100
"46",100,"propMissAct_0.25_autoCorr_0.27","intercept",0.32570787000251,0.0412900406780813,"MAR","Multiple Imputations",100
"47",100,"propMissAct_0.25_autoCorr_0.27","xreg1",5.05021224417164,0.553795245714063,"MAR","Multiple Imputations",100
"48",100,"propMissAct_0.25_autoCorr_0.27","xreg2",1.7808572359072,0.142443775698813,"MAR","Multiple Imputations",100
"49",100,"propMissAct_0.25_autoCorr_0.27","phi",-1.58871499972955,0.156016553104418,"MAR","Multiple Imputations",100
"50",100,"propMissAct_0.25_autoCorr_0.27","sigma",0.578945316260481,NA,"MAR","Multiple Imputations",100
"51",100,"propMissAct_0.43_autoCorr_0.3","intercept",0.265533704484266,0.0432110141023993,"MAR","Multiple Imputations",100
"52",100,"propMissAct_0.43_autoCorr_0.3","xreg1",5.75308859371623,0.589362435400193,"MAR","Multiple Imputations",100
"53",100,"propMissAct_0.43_autoCorr_0.3","xreg2",1.78749888406948,0.171290115785504,"MAR","Multiple Imputations",100
"54",100,"propMissAct_0.43_autoCorr_0.3","phi",-1.78859881146446,0.164765300820364,"MAR","Multiple Imputations",100
"55",100,"propMissAct_0.43_autoCorr_0.3","sigma",0.654313244052736,NA,"MAR","Multiple Imputations",100
"56",100,"propMissAct_0.63_autoCorr_0.31","intercept",0.138980451747631,0.0637466791376555,"MAR","Multiple Imputations",100
"57",100,"propMissAct_0.63_autoCorr_0.31","xreg1",5.98408812381461,0.755966040850717,"MAR","Multiple Imputations",100
"58",100,"propMissAct_0.63_autoCorr_0.31","xreg2",1.74211099711674,0.266188287757024,"MAR","Multiple Imputations",100
"59",100,"propMissAct_0.63_autoCorr_0.31","phi",-1.83714233511509,0.229044757952405,"MAR","Multiple Imputations",100
"60",100,"propMissAct_0.63_autoCorr_0.31","sigma",0.791511382766222,NA,"MAR","Multiple Imputations",100
"61",101,"propMissAct_0.23_autoCorr_0.49","ar1",0.411501513243437,0.043381987430664,"MAR","dropNA_simple",101
"62",101,"propMissAct_0.23_autoCorr_0.49","intercept",4.60730393732833,0.598700742955728,"MAR","dropNA_simple",101
"63",101,"propMissAct_0.23_autoCorr_0.49","xreg1",1.70439864266566,0.167138915328577,"MAR","dropNA_simple",101
"64",101,"propMissAct_0.23_autoCorr_0.49","xreg2",-1.44544907983328,0.169454888320067,"MAR","dropNA_simple",101
"65",101,"propMissAct_0.23_autoCorr_0.49","sigma",0.522300476973438,NA,"MAR","dropNA_simple",101
"66",101,"propMissAct_0.4_autoCorr_0.46","ar1",0.441588569087826,0.0497591710594198,"MAR","dropNA_simple",101
"67",101,"propMissAct_0.4_autoCorr_0.46","intercept",4.76795624133752,0.659277321071922,"MAR","dropNA_simple",101
"68",101,"propMissAct_0.4_autoCorr_0.46","xreg1",1.56604631126023,0.196683401636729,"MAR","dropNA_simple",101
"69",101,"propMissAct_0.4_autoCorr_0.46","xreg2",-1.47342793441395,0.186356749181298,"MAR","dropNA_simple",101
"70",101,"propMissAct_0.4_autoCorr_0.46","sigma",0.484447492925451,NA,"MAR","dropNA_simple",101
"71",101,"propMissAct_0.63_autoCorr_0.46","ar1",0.267973198263188,0.0682206853262082,"MAR","dropNA_simple",101
"72",101,"propMissAct_0.63_autoCorr_0.46","intercept",4.53047844728065,0.749497682095245,"MAR","dropNA_simple",101
"73",101,"propMissAct_0.63_autoCorr_0.46","xreg1",1.94654853194055,0.231652272514309,"MAR","dropNA_simple",101
"74",101,"propMissAct_0.63_autoCorr_0.46","xreg2",-1.46350588835427,0.21072948824739,"MAR","dropNA_simple",101
"75",101,"propMissAct_0.63_autoCorr_0.46","sigma",0.621321900118597,NA,"MAR","dropNA_simple",101
"76",101,"propMissAct_0.23_autoCorr_0.49","ar1",0.402612164159646,0.0464519316148466,"MAR","dropNA_complete",101
"77",101,"propMissAct_0.23_autoCorr_0.49","intercept",4.56235168694533,0.656654405698294,"MAR","dropNA_complete",101
"78",101,"propMissAct_0.23_autoCorr_0.49","xreg1",1.75173293184792,0.183690014284026,"MAR","dropNA_complete",101
"79",101,"propMissAct_0.23_autoCorr_0.49","xreg2",-1.43753815190299,0.18623706655595,"MAR","dropNA_complete",101
"80",101,"propMissAct_0.23_autoCorr_0.49","sigma",0.542196281392539,NA,"MAR","dropNA_complete",101
"81",101,"propMissAct_0.4_autoCorr_0.46","ar1",0.413967213218511,0.0542143564528643,"MAR","dropNA_complete",101
"82",101,"propMissAct_0.4_autoCorr_0.46","intercept",5.22604411236222,0.687006151814552,"MAR","dropNA_complete",101
"83",101,"propMissAct_0.4_autoCorr_0.46","xreg1",1.67441825045937,0.201514748311398,"MAR","dropNA_complete",101
"84",101,"propMissAct_0.4_autoCorr_0.46","xreg2",-1.61908324761415,0.193387563349341,"MAR","dropNA_complete",101
"85",101,"propMissAct_0.4_autoCorr_0.46","sigma",0.442946406107,NA,"MAR","dropNA_complete",101
"86",101,"propMissAct_0.63_autoCorr_0.46","ar1",0.272114046627479,0.104541918831734,"MAR","dropNA_complete",101
"87",101,"propMissAct_0.63_autoCorr_0.46","intercept",3.79651599725752,0.89801826001478,"MAR","dropNA_complete",101
"88",101,"propMissAct_0.63_autoCorr_0.46","xreg1",1.96618071173192,0.296992467804576,"MAR","dropNA_complete",101
"89",101,"propMissAct_0.63_autoCorr_0.46","xreg2",-1.25382368141789,0.259054638851875,"MAR","dropNA_complete",101
"90",101,"propMissAct_0.63_autoCorr_0.46","sigma",0.526123492037743,NA,"MAR","dropNA_complete",101
"91",101,"propMissAct_0.23_autoCorr_0.49","ar1",0.4204266376965,0.0423281752392602,"MAR","Kalman Filter",101
"92",101,"propMissAct_0.23_autoCorr_0.49","intercept",4.73449191193117,0.578357067053691,"MAR","Kalman Filter",101
"93",101,"propMissAct_0.23_autoCorr_0.49","xreg1",1.77546909725665,0.158319165889234,"MAR","Kalman Filter",101
"94",101,"propMissAct_0.23_autoCorr_0.49","xreg2",-1.49153859745168,0.163032375155366,"MAR","Kalman Filter",101
"95",101,"propMissAct_0.23_autoCorr_0.49","sigma",0.509155841300511,NA,"MAR","Kalman Filter",101
"96",101,"propMissAct_0.4_autoCorr_0.46","ar1",0.494030818862325,0.0492168279367578,"MAR","Kalman Filter",101
"97",101,"propMissAct_0.4_autoCorr_0.46","intercept",4.72729020594293,0.639364616178757,"MAR","Kalman Filter",101
"98",101,"propMissAct_0.4_autoCorr_0.46","xreg1",1.63563196836828,0.188099478413492,"MAR","Kalman Filter",101
"99",101,"propMissAct_0.4_autoCorr_0.46","xreg2",-1.46657689730569,0.180947959211932,"MAR","Kalman Filter",101
