"CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
41,"propMissAct_0.25_autoCorr_0.53","ar1",0.40810364380047,0.0360731801719209,"MAR","dropNA_simple",41
41,"propMissAct_0.25_autoCorr_0.53","intercept",4.42560084876353,0.52257586731509,"MAR","dropNA_simple",41
41,"propMissAct_0.25_autoCorr_0.53","xreg1",1.60339658066557,0.142103555078944,"MAR","dropNA_simple",41
41,"propMissAct_0.25_autoCorr_0.53","xreg2",-1.39430923444514,0.145244080648197,"MAR","dropNA_simple",41
41,"propMissAct_0.25_autoCorr_0.53","sigma",0.558817652777122,NA,"MAR","dropNA_simple",41
41,"propMissAct_0.38_autoCorr_0.46","ar1",0.444360864669657,0.0390295668977813,"MAR","dropNA_simple",41
41,"propMissAct_0.38_autoCorr_0.46","intercept",4.18905686028849,0.555203853212548,"MAR","dropNA_simple",41
41,"propMissAct_0.38_autoCorr_0.46","xreg1",1.56202820082696,0.157111323475917,"MAR","dropNA_simple",41
41,"propMissAct_0.38_autoCorr_0.46","xreg2",-1.32041737725369,0.154518469162368,"MAR","dropNA_simple",41
41,"propMissAct_0.38_autoCorr_0.46","sigma",0.526240985401153,NA,"MAR","dropNA_simple",41
41,"propMissAct_0.64_autoCorr_0.51","ar1",0.382059660160848,0.0516976990419872,"MAR","dropNA_simple",41
41,"propMissAct_0.64_autoCorr_0.51","intercept",4.96249818512868,0.805069017774145,"MAR","dropNA_simple",41
41,"propMissAct_0.64_autoCorr_0.51","xreg1",1.85540564121114,0.190062050296313,"MAR","dropNA_simple",41
41,"propMissAct_0.64_autoCorr_0.51","xreg2",-1.57656711869183,0.224317667680562,"MAR","dropNA_simple",41
41,"propMissAct_0.64_autoCorr_0.51","sigma",0.575229481091147,NA,"MAR","dropNA_simple",41
41,"propMissAct_0.25_autoCorr_0.53","ar1",0.429100702455541,0.0373596979768893,"MAR","dropNA_complete",41
41,"propMissAct_0.25_autoCorr_0.53","intercept",4.29549740086039,0.542575746760442,"MAR","dropNA_complete",41
41,"propMissAct_0.25_autoCorr_0.53","xreg1",1.60807261051869,0.15428889465038,"MAR","dropNA_complete",41
41,"propMissAct_0.25_autoCorr_0.53","xreg2",-1.35202480764091,0.150033206138348,"MAR","dropNA_complete",41
41,"propMissAct_0.25_autoCorr_0.53","sigma",0.53727477344631,NA,"MAR","dropNA_complete",41
41,"propMissAct_0.38_autoCorr_0.46","ar1",0.419293302466144,0.0434319225387539,"MAR","dropNA_complete",41
41,"propMissAct_0.38_autoCorr_0.46","intercept",4.63896303007399,0.627138922234368,"MAR","dropNA_complete",41
41,"propMissAct_0.38_autoCorr_0.46","xreg1",1.59758964321804,0.175944563404566,"MAR","dropNA_complete",41
41,"propMissAct_0.38_autoCorr_0.46","xreg2",-1.45018361262862,0.174799053212503,"MAR","dropNA_complete",41
41,"propMissAct_0.38_autoCorr_0.46","sigma",0.554783102187882,NA,"MAR","dropNA_complete",41
41,"propMissAct_0.64_autoCorr_0.51","ar1",0.260373650460048,0.0641589870243578,"MAR","dropNA_complete",41
41,"propMissAct_0.64_autoCorr_0.51","intercept",6.03768199982689,0.909106651766232,"MAR","dropNA_complete",41
41,"propMissAct_0.64_autoCorr_0.51","xreg1",1.78292446022144,0.230547025130918,"MAR","dropNA_complete",41
41,"propMissAct_0.64_autoCorr_0.51","xreg2",-1.87102830534324,0.253829133157229,"MAR","dropNA_complete",41
41,"propMissAct_0.64_autoCorr_0.51","sigma",0.670513452832202,NA,"MAR","dropNA_complete",41
41,"propMissAct_0.25_autoCorr_0.53","ar1",0.441094183816152,0.0349973093328433,"MAR","Kalman Filter",41
41,"propMissAct_0.25_autoCorr_0.53","intercept",4.94760208496944,0.502099865165336,"MAR","Kalman Filter",41
41,"propMissAct_0.25_autoCorr_0.53","xreg1",1.59725554362028,0.139133599201811,"MAR","Kalman Filter",41
41,"propMissAct_0.25_autoCorr_0.53","xreg2",-1.54108701227315,0.138890866482334,"MAR","Kalman Filter",41
41,"propMissAct_0.25_autoCorr_0.53","sigma",0.539830222823838,NA,"MAR","Kalman Filter",41
41,"propMissAct_0.38_autoCorr_0.46","ar1",0.471793066866056,0.0391274833397708,"MAR","Kalman Filter",41
41,"propMissAct_0.38_autoCorr_0.46","intercept",4.38971940402626,0.525162879639674,"MAR","Kalman Filter",41
41,"propMissAct_0.38_autoCorr_0.46","xreg1",1.66411448550625,0.14839138857563,"MAR","Kalman Filter",41
41,"propMissAct_0.38_autoCorr_0.46","xreg2",-1.38818378725517,0.145558028058075,"MAR","Kalman Filter",41
41,"propMissAct_0.38_autoCorr_0.46","sigma",0.505841574880796,NA,"MAR","Kalman Filter",41
41,"propMissAct_0.64_autoCorr_0.51","ar1",0.399055238495332,0.0521463027211746,"MAR","Kalman Filter",41
41,"propMissAct_0.64_autoCorr_0.51","intercept",5.6580868062539,0.708321369496729,"MAR","Kalman Filter",41
41,"propMissAct_0.64_autoCorr_0.51","xreg1",1.91792079893426,0.174088387759875,"MAR","Kalman Filter",41
41,"propMissAct_0.64_autoCorr_0.51","xreg2",-1.77722847005217,0.196889698932973,"MAR","Kalman Filter",41
41,"propMissAct_0.64_autoCorr_0.51","sigma",0.55499116993625,NA,"MAR","Kalman Filter",41
41,"propMissAct_0.25_autoCorr_0.53","intercept",0.308347993868835,0.0330114211719125,"MAR","Multiple Imputations",41
41,"propMissAct_0.25_autoCorr_0.53","xreg1",5.27398994163888,0.43940469269407,"MAR","Multiple Imputations",41
41,"propMissAct_0.25_autoCorr_0.53","xreg2",1.69978374834648,0.13314899912776,"MAR","Multiple Imputations",41
41,"propMissAct_0.25_autoCorr_0.53","phi",-1.64660471616721,0.11706541740942,"MAR","Multiple Imputations",41
41,"propMissAct_0.25_autoCorr_0.53","sigma",0.598872844194632,NA,"MAR","Multiple Imputations",41
41,"propMissAct_0.38_autoCorr_0.46","intercept",0.29209208092561,0.0489254784931319,"MAR","Multiple Imputations",41
41,"propMissAct_0.38_autoCorr_0.46","xreg1",4.777511440214,0.391763974643741,"MAR","Multiple Imputations",41
41,"propMissAct_0.38_autoCorr_0.46","xreg2",1.84085112723503,0.116116716564242,"MAR","Multiple Imputations",41
41,"propMissAct_0.38_autoCorr_0.46","phi",-1.51688721155326,0.106689736860405,"MAR","Multiple Imputations",41
41,"propMissAct_0.38_autoCorr_0.46","sigma",0.575366657767982,NA,"MAR","Multiple Imputations",41
41,"propMissAct_0.64_autoCorr_0.51","intercept",0.135424282220471,0.0443486962883076,"MAR","Multiple Imputations",41
41,"propMissAct_0.64_autoCorr_0.51","xreg1",6.32007411966492,0.770638966770956,"MAR","Multiple Imputations",41
41,"propMissAct_0.64_autoCorr_0.51","xreg2",1.88127778950097,0.120636216969971,"MAR","Multiple Imputations",41
41,"propMissAct_0.64_autoCorr_0.51","phi",-1.96044906362987,0.222445323994325,"MAR","Multiple Imputations",41
41,"propMissAct_0.64_autoCorr_0.51","sigma",0.694780134697798,NA,"MAR","Multiple Imputations",41
