"","CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
"1",100,"propMissAct_0.25_autoCorr_0.28","ar1",0.483752255371098,0.0357701203278199,"MAR","dropNA_simple",100
"2",100,"propMissAct_0.25_autoCorr_0.28","intercept",3.90472196668233,0.542055150479341,"MAR","dropNA_simple",100
"3",100,"propMissAct_0.25_autoCorr_0.28","xreg1",1.34474831228769,0.154444788748603,"MAR","dropNA_simple",100
"4",100,"propMissAct_0.25_autoCorr_0.28","xreg2",-1.21418429946427,0.151144947191146,"MAR","dropNA_simple",100
"5",100,"propMissAct_0.25_autoCorr_0.28","sigma",0.534078421743112,NA,"MAR","dropNA_simple",100
"6",100,"propMissAct_0.43_autoCorr_0.27","ar1",0.381653401600149,0.0420745549955614,"MAR","dropNA_simple",100
"7",100,"propMissAct_0.43_autoCorr_0.27","intercept",4.63527904169581,0.546640493117447,"MAR","dropNA_simple",100
"8",100,"propMissAct_0.43_autoCorr_0.27","xreg1",1.40207628124374,0.163631177021858,"MAR","dropNA_simple",100
"9",100,"propMissAct_0.43_autoCorr_0.27","xreg2",-1.42068254732377,0.151437570728381,"MAR","dropNA_simple",100
"10",100,"propMissAct_0.43_autoCorr_0.27","sigma",0.592427693610185,NA,"MAR","dropNA_simple",100
"11",100,"propMissAct_0.64_autoCorr_0.24","ar1",0.286047908983543,0.0520689582498157,"MAR","dropNA_simple",100
"12",100,"propMissAct_0.64_autoCorr_0.24","intercept",4.56977215184493,0.631473292197874,"MAR","dropNA_simple",100
"13",100,"propMissAct_0.64_autoCorr_0.24","xreg1",1.97337446539557,0.18268599327939,"MAR","dropNA_simple",100
"14",100,"propMissAct_0.64_autoCorr_0.24","xreg2",-1.4970867117977,0.175024498656878,"MAR","dropNA_simple",100
"15",100,"propMissAct_0.64_autoCorr_0.24","sigma",0.634131670245179,NA,"MAR","dropNA_simple",100
"16",100,"propMissAct_0.25_autoCorr_0.28","ar1",0.540181878416373,0.0397498748442441,"MAR","dropNA_complete",100
"17",100,"propMissAct_0.25_autoCorr_0.28","intercept",3.31208333388557,0.645925137476669,"MAR","dropNA_complete",100
