missingprop_autocor,Estimate,Est.Error,Q2.5,Q97.5,date,GPP,missingness,type,run_no
propMissAct_0.24_autoCorr_0.49,-9.517857453568378e-4,0.5997426797249044,-1.1664122960081011,1.165641075035716,2013-12-31T00:00:00Z,-0.6527207780258462,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.3591339312571627,0.6425363951236952,-0.8972082397462473,1.625991368556594,2014-01-01T00:00:00Z,-0.8727313138081563,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.2136228731569486,0.6379644948026472,-1.0257186133379659,1.451016435067039,2014-01-02T00:00:00Z,-0.997448953547836,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.18819794198535672,0.6437008273227075,-1.051704082451706,1.4446441668026817,2014-01-03T00:00:00Z,-0.9123565532483736,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.17925829135069676,0.6407398102327668,-1.0974647588608528,1.4140449475604888,2014-01-04T00:00:00Z,-0.3616596898638746,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.40638390825215986,0.6458657921665776,-1.6679377238257989,0.8225197436677225,2014-01-05T00:00:00Z,-3.302246029167979,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.7319578178460159,0.6421209834784309,-1.9930361550631084,0.5515298131008552,2014-01-06T00:00:00Z,-0.86609053874533,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.09237942242106387,0.6380534984892372,-1.1583280143491512,1.3435822776147037,2014-01-07T00:00:00Z,-0.9983829539508916,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.5187873394530408,0.6502380089368787,-0.767625160820084,1.7810855605191545,2014-01-08T00:00:00Z,-0.6019689923534888,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.007180448731979431,0.6374112747635124,-1.2580230122297558,1.2753499114397593,2014-01-09T00:00:00Z,-1.191266078598353,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.28105263539078534,0.6395903125867162,-1.525361346749556,0.9895519515067328,2014-01-10T00:00:00Z,NA,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.7529935210466092,0.6430965314290248,-2.020364433295632,0.49534275454104115,2014-01-11T00:00:00Z,-1.1347333379405111,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.5526962132003531,0.6425599093857596,-1.7862553620013775,0.7485706740747713,2014-01-12T00:00:00Z,-1.7675445093418511,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.6036074510702844,0.6391206430772542,-1.8469521670692257,0.6473698782360596,2014-01-13T00:00:00Z,-1.9119688214503865,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.5405111112034933,0.6434417189846378,-1.792612006464558,0.712378455621228,2014-01-14T00:00:00Z,-0.9170628234403512,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.5298498575885376,0.6459747486033258,-1.81279194569535,0.7438358520157783,2014-01-15T00:00:00Z,-1.0014252217898034,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.3804971732852678,0.6495189514363626,-1.6706195432714122,0.89468972717615,2014-01-16T00:00:00Z,-3.174940954929717,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.47562260326490674,0.6444168403710204,-1.7618795931589217,0.8088872221912551,2014-01-17T00:00:00Z,-1.290529229294103,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.37831056631709464,0.6426351403018438,-1.6594733273667097,0.8832050532537349,2014-01-18T00:00:00Z,-0.7628452653477644,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.447276804465217,0.6385215733880265,-1.6854587584479626,0.8158345718317052,2014-01-19T00:00:00Z,-1.2016932001648797,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.40658065112989755,0.6566389357554864,-1.6951507571400692,0.8814295373732893,2014-01-20T00:00:00Z,-1.2241431279305734,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.2730908944474653,0.6473219263226064,-0.9899376869404609,1.540471666405266,2014-01-21T00:00:00Z,-0.8554972594008597,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.8020195285961527,0.6450021156657335,-0.45159908542472615,2.0494506326329818,2014-01-22T00:00:00Z,-0.341929286950213,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.20953034650581276,0.6526693456478456,-1.0661287645105197,1.5068595343420645,2014-01-23T00:00:00Z,-2.087499256902139,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.04376925391224016,0.6411408421170887,-1.2527428545066788,1.276325012362385,2014-01-24T00:00:00Z,-1.081975505966163,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.15535735995849018,0.6436869732092941,-1.4066000557060556,1.1206841830033647,2014-01-25T00:00:00Z,-1.654491324424658,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.32952638309865173,0.6410832999757109,-1.5766016270548762,0.923358098967141,2014-01-26T00:00:00Z,-1.4574538118164022,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.0887187647466167,0.6462693922159676,-1.3589783794167132,1.1786207136968356,2014-01-27T00:00:00Z,NA,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.10516890878101467,0.6392780485541164,-1.1516664319988361,1.3600121934361047,2014-01-28T00:00:00Z,NA,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.23343243865519028,0.6444756141461704,-1.0403024021920553,1.4910401850184984,2014-01-29T00:00:00Z,-0.9555811396258306,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.0013662010974061164,0.6447183397325255,-1.270341656468784,1.282098344419374,2014-01-30T00:00:00Z,-0.920195703683634,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.09551484633301119,0.6404491793619401,-1.162601844343608,1.3477363064373389,2014-01-31T00:00:00Z,-0.6720761118358493,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.16413376740375493,0.638456701852728,-1.4150076876593594,1.070667382742062,2014-02-01T00:00:00Z,-1.210548819806026,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.05933828845971827,0.6409755742451202,-1.334695410872873,1.1751186687555644,2014-02-02T00:00:00Z,-1.0831006234676563,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.10946411384820837,0.6390648970641488,-1.1295980435756687,1.353001653267085,2014-02-03T00:00:00Z,NA,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.1568367613135794,0.6456487001470417,-1.092305638795614,1.4126347469998501,2014-02-04T00:00:00Z,-0.7373849074605138,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.12407793173311124,0.6521596143989882,-1.1627359286480192,1.3810607356898374,2014-02-05T00:00:00Z,-0.6020917744441472,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.15703163553090446,0.6420360577482256,-1.4099028863903318,1.1029800534096534,2014-02-06T00:00:00Z,-1.3604860622807733,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.18202083752614762,0.6380049008067051,-1.0553257929116553,1.422813654738734,2014-02-07T00:00:00Z,-0.5907313672844736,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.3895615365073217,0.638315584911167,-0.8771157712946941,1.6432854729823412,2014-02-08T00:00:00Z,-0.4387031063222623,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.07951372956177184,0.645794571603083,-1.1898473147029702,1.3349233448703013,2014-02-09T00:00:00Z,-0.00344968843796353,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,5.784393954073095e-4,0.6435629599131378,-1.272257047524791,1.2597830880244278,2014-02-10T00:00:00Z,-0.8532588691615512,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.2280354114520966,0.6380421401615751,-1.023294007738062,1.508049540149358,2014-02-11T00:00:00Z,-0.47375806377837354,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.4078193798885025,0.6410520213279567,-0.8565850732358966,1.683585927539254,2014-02-12T00:00:00Z,-0.09301148943878695,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.2911299952473837,0.6397355678001045,-0.9757998640359324,1.5578679291223305,2014-02-13T00:00:00Z,-0.38716390850271953,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.10518512649300601,0.6364729642914023,-1.3270794374498396,1.1547910429962713,2014-02-14T00:00:00Z,-0.5964862645359816,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.3005380411964073,0.6372893849806711,-0.9387786018686318,1.548742642041128,2014-02-15T00:00:00Z,-0.592463347129888,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.08155712169945278,0.6353785462705823,-1.1555568043338074,1.3186599553186797,2014-02-16T00:00:00Z,-0.13917363663827534,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.2411247463047557,0.643951276780761,-1.031732507898679,1.4859186479660074,2014-02-17T00:00:00Z,-0.28683850695604957,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.25970314087605895,0.635815616659267,-0.9610437846749746,1.5351663541007854,2014-02-18T00:00:00Z,-0.2760552258413724,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.22542086202813313,0.6452378912912846,-1.028031821736022,1.5131397450771722,2014-02-19T00:00:00Z,-0.8772453104859257,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.15665846426137148,0.6417817448490901,-1.0771900083840809,1.4063761321791386,2014-02-20T00:00:00Z,-0.20683569527659088,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.29670468793711063,0.6409501252346186,-1.5327333259361449,0.9519372102996657,2014-02-21T00:00:00Z,-0.7081706068232946,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.1775597114095249,0.6377793304836215,-1.0693879059977784,1.4378629568343706,2014-02-22T00:00:00Z,-0.2514221101321574,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.3549112611958225,0.6498808531340546,-0.9204895190769036,1.6138795671593802,2014-02-23T00:00:00Z,0.5446643287779301,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.03310029305114279,0.649384065469657,-1.3000696377784269,1.2389963833482158,2014-02-24T00:00:00Z,-0.6830312901535512,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.06104525894506658,0.6447986283251887,-1.2178461948611927,1.3209428100868625,2014-02-25T00:00:00Z,0.18078806817003257,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.3023315828162529,0.6402376698364493,-0.9552952522129752,1.5500771331377745,2014-02-26T00:00:00Z,0.10425395923014898,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.47834135888521767,0.6417523402867943,-0.7731999610742644,1.744487473109624,2014-02-27T00:00:00Z,0.27859061196053353,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.7348724788354294,0.6359042461924335,-0.5003733142122124,1.9831533992961907,2014-02-28T00:00:00Z,0.3827148701906537,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.5087480414057363,0.6358179210477496,-0.7318682021867293,1.765558874105083,2014-03-01T00:00:00Z,-0.01607322900921031,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.5066886699720783,0.6468804748473642,-0.7501937619573226,1.7795385962277943,2014-03-02T00:00:00Z,0.1553271631360133,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.7451257466202252,0.6388344994647579,-0.5029946773439258,1.9933270785588744,2014-03-03T00:00:00Z,0.41316166996944287,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.1728686223268845,0.6446236822520506,-1.077471849485155,1.4513134449993903,2014-03-04T00:00:00Z,0.21933182514200303,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.6885101268627523,0.6486471178873673,-0.5576960028905583,1.966577143331789,2014-03-05T00:00:00Z,0.2863684018929906,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.9263507576569883,0.646292474314707,-0.3282984108231626,2.1910476544034734,2014-03-06T00:00:00Z,0.4808785459046068,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.7672924078342652,0.6380176018991051,-0.48038910964882464,2.0125191331997705,2014-03-07T00:00:00Z,NA,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.3784269054438394,0.633105717030393,-0.8509736494210819,1.6342405042652544,2014-03-08T00:00:00Z,0.2524700112300354,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.6002615588751335,0.6389825624893173,-0.6489120586772712,1.8546521869333024,2014-03-09T00:00:00Z,0.36022230685437207,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.6352119551712386,0.6458266940158237,-0.6554950160730743,1.8965680941524488,2014-03-10T00:00:00Z,0.3738078505211071,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.638788771614456,0.6374750307553926,-0.617625897556353,1.8784007019313897,2014-03-11T00:00:00Z,0.4368731686477673,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.39152711104913895,0.6378877230186542,-0.8908379740908416,1.6171672387814886,2014-03-12T00:00:00Z,-0.5852380052124279,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.5661651550341972,0.6371504745002428,-0.6959403228384571,1.828017140927826,2014-03-13T00:00:00Z,0.7926482200267819,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.4533471779531629,0.6410690285067085,-0.817736270988136,1.6868607432390954,2014-03-14T00:00:00Z,0.39485251006649574,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.3666247497081273,0.6418840107565945,-0.9035808352257843,1.642617221155674,2014-03-15T00:00:00Z,-0.05124524452183308,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.6728786420555327,0.6393252408499441,-0.5768368920765449,1.9140822154654797,2014-03-16T00:00:00Z,1.057763606403142,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.8085472375458844,0.6384264443693771,-0.45107692403441035,2.068171455659895,2014-03-17T00:00:00Z,0.8880470602886471,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.7314812632069274,0.6407280484557842,-0.5383593680477091,2.0131578254672395,2014-03-18T00:00:00Z,0.2701186464466048,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.08896825256714062,0.6362230769937742,-1.1699932801610213,1.3216961556811113,2014-03-19T00:00:00Z,-1.198810260907022,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.23627265273194212,0.6412116261978992,-1.0295257147758201,1.4784028391589052,2014-03-20T00:00:00Z,0.07700331022804902,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.7023226758269886,0.6439453470998864,-0.5530006213373759,1.948174368746116,2014-03-21T00:00:00Z,0.3298617787776148,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.1386612418224064,0.6446647482656961,-1.1408979883212191,1.385463533073017,2014-03-22T00:00:00Z,0.04932236249006375,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.4445761289502576,0.6348416525861833,-0.7971003097274761,1.6796548168282734,2014-03-23T00:00:00Z,0.6221658627164289,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.4301201756664356,0.6397027020223989,-0.8208884984222564,1.6700303550090752,2014-03-24T00:00:00Z,0.8699496199944807,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.45436976069201623,0.6404956076991329,-0.8075183383148996,1.6887289430017949,2014-03-25T00:00:00Z,0.11312435421061429,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.7600220388836274,0.6404942683946238,-0.4955864826348364,2.0327766404751286,2014-03-26T00:00:00Z,0.3783102750857284,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.35398491727848447,0.6452844013232264,-0.9200558838662769,1.6091278164540515,2014-03-27T00:00:00Z,0.1860347039865772,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.3308317302339654,0.6435709791563771,-0.9317133784305704,1.5897611927023914,2014-03-28T00:00:00Z,-1.8318558412440764,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.3882424020530093,0.6407693096030032,-0.8841223075954763,1.6530380383891636,2014-03-29T00:00:00Z,-0.05838043985305814,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.809582105665971,0.6408511737660756,-0.4617869072789067,2.0752359782166847,2014-03-30T00:00:00Z,0.13765665282598166,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.6499290937322161,0.6389727429501704,-0.6225438051041372,1.8906091981484276,2014-03-31T00:00:00Z,0.25160074579214003,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.4924887551162033,0.6430469275614282,-1.7400500859429393,0.7680586085990355,2014-04-01T00:00:00Z,-0.942556549234211,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.3783089223085686,0.647714673424859,-0.8800222157325628,1.6316993256048475,2014-04-02T00:00:00Z,-1.40914436440674,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.15472143704797234,0.6392929233142719,-1.3964338178592721,1.1008234860000847,2014-04-03T00:00:00Z,-1.993140021572738,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.5731240889685906,0.641594394604572,-1.7999709406379183,0.7063329120801317,2014-04-04T00:00:00Z,0.0893624792753299,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.1294777036089406,0.6539258484158206,-1.1592924221438095,1.429061869720368,2014-04-05T00:00:00Z,-0.23421258593612765,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.19476572526407876,0.6516448784930776,-1.0848160458233063,1.4773873895155492,2014-04-06T00:00:00Z,-0.5192357932481074,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.134495392623651,0.6618273797943194,-1.4210636696561496,1.1784926768734627,2014-04-07T00:00:00Z,0.17292437203879257,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.7565328666879841,0.6474986695494054,-2.0258838042847978,0.48933705830211877,2014-04-08T00:00:00Z,-0.30349445575955886,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.17906619430905424,0.6565172429443665,-1.438259099013783,1.108999730815203,2014-04-09T00:00:00Z,-0.6097545902859567,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.5164746872308237,0.6647063766245558,-1.8051737066380216,0.801279024936261,2014-04-10T00:00:00Z,0.3178897545504348,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.34871012743050067,0.6693577166354189,-1.6957653039410063,0.9528861520072467,2014-04-11T00:00:00Z,-1.1160508614257512,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.8138168656077814,0.6675668987059121,-2.088586565598308,0.5102069407073996,2014-04-12T00:00:00Z,-2.931889302579276,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-1.2123501662161627,0.6687754648148272,-2.518762388221681,0.1168743390419297,2014-04-13T00:00:00Z,0.04682354661630569,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-2.2291446508789745,0.6865325287450927,-3.5590194275434626,-0.862873132337879,2014-04-14T00:00:00Z,0.04990512932171002,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-2.1477095471587515,0.7070651479944717,-3.5196865901651915,-0.7555615397885594,2014-04-15T00:00:00Z,0.02916520208274875,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-1.414564539968636,0.6858147617523451,-2.730326584987463,-0.06496962326643556,2014-04-16T00:00:00Z,-0.6290758490697521,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.9651293129446065,0.6806377274768208,-2.297544871704818,0.37189953818374105,2014-04-17T00:00:00Z,-2.6422398878441045,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.9132790052962784,0.6735133494323576,-2.226809583326785,0.41312408951887214,2014-04-18T00:00:00Z,-2.08900615424417,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.21979440454151575,0.662844720314045,-1.5220642190245222,1.061325479679477,2014-04-19T00:00:00Z,-0.9192586413819022,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.5499009802267032,0.6502685174182505,-1.805557192329249,0.7216510528235548,2014-04-20T00:00:00Z,-2.641187435730949,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-1.2084430406037394,0.6519766711616147,-2.4958199682732194,0.07302991469413053,2014-04-21T00:00:00Z,-1.4679543559265835,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.4371837143582649,0.6625199908677502,-1.7190439653469909,0.8748499679071223,2014-04-22T00:00:00Z,-4.105511758665366,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.22606656268511569,0.6600230917157858,-1.0672461051611641,1.5118385673603476,2014-04-23T00:00:00Z,-0.9178990810135292,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.9021372046598385,0.6483735016705195,-2.1443806976768696,0.3837440686186385,2014-04-24T00:00:00Z,-1.7051978629104037,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.7843734580961284,0.6562867455882038,-2.0634706133516296,0.5241864324909565,2014-04-25T00:00:00Z,-0.9333721911173526,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.7505243999514623,0.6561232149772837,-2.0594399942723807,0.5231238045124522,2014-04-26T00:00:00Z,-0.16020759794941866,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.39883754674317856,0.6640606910429504,-0.9138692530453316,1.7057557952528115,2014-04-27T00:00:00Z,-0.7429799172542878,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.06205137060720347,0.6547935101061707,-1.335629620611078,1.2236964271303512,2014-04-28T00:00:00Z,NA,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.9415455832863674,0.6584385264786708,-2.215449946522793,0.3350043060642231,2014-04-29T00:00:00Z,0.2264349317263163,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-1.6473946509446213,0.6711451394809921,-2.937888766536797,-0.32956001267331136,2014-04-30T00:00:00Z,-0.6835186028464452,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-1.3328551202267986,0.6705809711234112,-2.6290909415004937,0.01090587670834345,2014-05-01T00:00:00Z,-1.3275847852532694,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-1.387628393307725,0.662165827110743,-2.687284115998768,-0.10978556732708498,2014-05-02T00:00:00Z,-0.4188173716596031,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-1.3139709284845247,0.66485709861023,-2.5914673462724975,-0.010191889835555409,2014-05-03T00:00:00Z,0.01764116497111167,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.6637367154961482,0.6613260462607061,-1.9488694402451054,0.6452283266503147,2014-05-04T00:00:00Z,-0.05945627290570024,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.6703831551938498,0.6647909153985493,-1.9725047740293415,0.6425215324405125,2014-05-05T00:00:00Z,-0.89756203825992,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,0.1260575972961984,0.6534899600655687,-1.1334481122282167,1.4380835678360686,2014-05-06T00:00:00Z,-0.37644368958577507,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.4148313033781657,0.6480861306391199,-1.6676033349843509,0.844265787115767,2014-05-07T00:00:00Z,-0.36661551283749266,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.17886261222998262,0.6577637890403184,-1.4639408860694052,1.1142744360536543,2014-05-08T00:00:00Z,-1.306706713267383,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.6118626839065366,0.6538488998276578,-1.9033412373178542,0.6598195042146973,2014-05-09T00:00:00Z,-0.308782682209894,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.4138228247651702,0.6555389289894857,-1.6825577048579643,0.8877898233298948,2014-05-10T00:00:00Z,NA,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.04799568288041918,0.6543785177390946,-1.3312443278256427,1.2363749146032013,2014-05-11T00:00:00Z,0.13831709785519217,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.07497139849214116,0.6566780587565505,-1.3687366316751723,1.2071291025349564,2014-05-12T00:00:00Z,-0.16667762178519163,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.8457323082686311,0.6534274345407244,-2.1158768085867656,0.4531077141014883,2014-05-13T00:00:00Z,-1.1825863723454062,MAR,brms,119
propMissAct_0.24_autoCorr_0.49,-0.5717583327732599,0.6489123694813334,-1.8392839527147176,0.6896204172294197,2014-05-14T00:00:00Z,0.42948953585465394,MAR,brms,119
