missingprop_autocor,parameter,mean,sd,2.5%,50%,97.5%,missingness,type,run_no
propMissAct_0.24_autoCorr_0.23,b_Intercept,5.53117534964787,0.6845006691791138,4.157942943452957,5.539864472320227,6.870088670461206,MAR,brms,34
propMissAct_0.24_autoCorr_0.23,b_light,1.8765878868308867,0.16719600649467484,1.5408250236620624,1.8817521759985842,2.191027238560186,MAR,brms,34
propMissAct_0.24_autoCorr_0.23,b_Q,-1.7115884046481156,0.1966887499608758,-2.1000087988797524,-1.713518748611322,-1.3141078285858008,MAR,brms,34
propMissAct_0.24_autoCorr_0.23,phi,0.29391826659008297,0.06722437835050943,0.16288471379361363,0.2943945827376902,0.42197700553721273,MAR,brms,34
propMissAct_0.24_autoCorr_0.23,sigma,0.639465969654106,0.027358102896946884,0.5896975995756195,0.6384283131861126,0.6961078509895884,MAR,brms,34
propMissAct_0.24_autoCorr_0.23,Intercept,0.39750796802724125,0.051737731730664836,0.29732954143675355,0.397282524649746,0.49765322812297197,MAR,brms,34
propMissAct_0.41_autoCorr_0.25,b_Intercept,5.78684162482853,0.6288877397224779,4.508709550201874,5.795043188440041,7.013501987617634,MAR,brms,34
propMissAct_0.41_autoCorr_0.25,b_light,2.1948796533887527,0.1580450963969992,1.8717110480402106,2.199446203049516,2.4951959048904593,MAR,brms,34
propMissAct_0.41_autoCorr_0.25,b_Q,-1.821388316364042,0.17898150091704318,-2.1720349016788765,-1.8241993907764495,-1.4587783804999832,MAR,brms,34
propMissAct_0.41_autoCorr_0.25,phi,0.2590017132818096,0.07909176470313652,0.10252960184907968,0.2590777471587344,0.41397108790590714,MAR,brms,34
propMissAct_0.41_autoCorr_0.25,sigma,0.5696247967362675,0.027128865984943178,0.519361886511563,0.5687028195744896,0.6253284263159009,MAR,brms,34
propMissAct_0.41_autoCorr_0.25,Intercept,0.41396777459493456,0.04765093486230864,0.31918508450469096,0.4131095299112498,0.5089414007580375,MAR,brms,34
propMissAct_0.62_autoCorr_0.22,b_Intercept,6.469695773111225,0.8619762283869563,4.708922207545128,6.483307438400564,8.121254250321442,MAR,brms,34
propMissAct_0.62_autoCorr_0.22,b_light,2.243510582823725,0.22192727864956605,1.7984150200687605,2.249429039420133,2.667219089062334,MAR,brms,34
propMissAct_0.62_autoCorr_0.22,b_Q,-2.022372075664722,0.24799260505971524,-2.4953030029693237,-2.0252561251411834,-1.5120551829306197,MAR,brms,34
propMissAct_0.62_autoCorr_0.22,phi,0.14157520413744498,0.15250669403227873,-0.15474118437749027,0.14159944303251043,0.44283114034684945,MAR,brms,34
propMissAct_0.62_autoCorr_0.22,sigma,0.639523829101809,0.040600495013254266,0.5664544443871512,0.6367783198139189,0.7240690393022765,MAR,brms,34
propMissAct_0.62_autoCorr_0.22,Intercept,0.4157981285478252,0.061215413438769725,0.2909629124123518,0.4156919415363015,0.5345358912986126,MAR,brms,34
